Line  1710:  Material:  EL1 UFMat (G.N8.U9.M1)
Line  1715:  Layers:  EL1 UFLyrs (G.N8.U9)
Line  1720:  Construction:  EL1 UFCons (G.N8.U9)
Line  1725:  Underground Wall:  EL1 Flr (G.N8.U8)
Line  1730:  Exterior Wall:  EL1 North Wall (G.N8.E13)
Line  1736:  Window:  EL1 North Win (G.N8.E13.W1)
Line  1750:  Interior Wall:  EL1 West Wall (G.N8.I17)
Line  1756:  Interior Wall:  EL1 South Wall (G.N8.I18)
Line  1762:  Interior Wall:  EL1 Ceiling (G.N8.I19)
Line  1775:  Space:  EL1 North Perim Spc (G.N9)
Line  1806:  Underground Wall:  EL1 Flr (G.N9.U9)
Line  1811:  Exterior Wall:  EL1 North Wall (G.N9.E14)
Line  1817:  Window:  EL1 North Win (G.N9.E14.W1)
Line  1831:  Interior Wall:  EL1 South Wall (G.N9.I20)
Line  1837:  Interior Wall:  EL1 Ceiling (G.N9.I21)
Line  1850:  Space:  EL1 Core Spc (G.C10)
Line  1877:  Material:  EL1 UFMat (G.C10.U11.M1)
Line  1882:  Layers:  EL1 UFLyrs (G.C10.U11)
Line  1887:  Construction:  EL1 UFCons (G.C10.U11)
Line  1892:  Underground Wall:  EL1 Flr (G.C10.U10)
Line  1897:  Interior Wall:  EL1 West Wall (G.C10.I22)
Line  1903:  Exterior Wall:  EL1 East Wall (G.C10.E15)
Line  1909:  Window:  EL1 East Win (G.C10.E15.W1)
Line  1923:  Interior Wall:  EL1 East Wall (G.C10.I23)
Line  1929:  Exterior Wall:  EL1 North Wall (G.C10.E16)
Line  1935:  Window:  EL1 North Win (G.C10.E16.W1)
Line  1949:  Interior Wall:  EL1 Ceiling (G.C10.I24)
Line  1964:  Space:  EL1 WNW Perim Spc (G.WNW11)
Line  1993:  Underground Wall:  EL1 Flr (G.WNW11.U11)
Line  1998:  Exterior Wall:  EL1 West Wall (G.WNW11.E17)
Line  2004:  Window:  EL1 West Win (G.WNW11.E17.W1)
Line  2018:  Interior Wall:  EL1 South Wall (G.WNW11.I25)
Line  2024:  Interior Wall:  EL1 West Wall (G.WNW11.I26)
Line  2030:  Exterior Wall:  EL1 South Wall (G.WNW11.E18)
Line  2036:  Window:  EL1 South Win (G.WNW11.E18.W1)
Line  2050:  Interior Wall:  EL1 South Wall (G.WNW11.I27)
Line  2056:  Interior Wall:  EL1 East Wall (G.WNW11.I28)
Line  2062:  Interior Wall:  EL1 North Wall (G.WNW11.I29)
Line  2068:  Interior Wall:  EL1 East Wall (G.WNW11.I30)
Line  2074:  Exterior Wall:  EL1 North Wall (G.WNW11.E19)
Line  2080:  Window:  EL1 North Win (G.WNW11.E19.W1)
Line  2094:  Interior Wall:  EL1 Ceiling (G.WNW11.I31)
Line  2100:  Space:  EL1 Plnm (G.12)
Line  2112:  Exterior Wall:  EL1 West Wall (G.12.E20)
Line  2118:  Exterior Wall:  EL1 South Wall (G.12.E21)
Line  2124:  Exterior Wall:  EL1 West Wall (G.12.E22)
Line  2130:  Exterior Wall:  EL1 South Wall (G.12.E23)
Line  2136:  Exterior Wall:  EL1 East Wall (G.12.E24)
Line  2142:  Exterior Wall:  EL1 North Wall (G.12.E25)
Line  2148:  Exterior Wall:  EL1 East Wall (G.12.E26)
Line  2154:  Exterior Wall:  EL1 North Wall (G.12.E27)
Line  2160:  Exterior Wall:  EL1 Roof (G.12.E28)
Line  2182:  Floor:  EL2 Ground Flr
Line  2200:  Space:  EL2 SW Perim Spc (G.SW1)
Line  2229:  Interior Wall:  EL2 Flr (G.SW1.I1)
Line  2235:  Exterior Wall:  EL2 West Wall (G.SW1.E1)
Line  2241:  Window:  EL2 West Win (G.SW1.E1.W1)
Line  2255:  Exterior Wall:  EL2 South Wall (G.SW1.E2)
Line  2261:  Window:  EL2 South Win (G.SW1.E2.W1)
Line  2275:  Interior Wall:  EL2 North Wall (G.SW1.I2)
Line  2281:  Interior Wall:  EL2 Ceiling (G.SW1.I3)
Line  2294:  Space:  EL2 SSE Perim Spc (G.SSE2)
Line  2323:  Interior Wall:  EL2 Flr (G.SSE2.I4)
Line  2329:  Exterior Wall:  EL2 East Wall (G.SSE2.E3)
Line  2335:  Window:  EL2 East Win (G.SSE2.E3.W1)
